cuda
  5%|██████▍                                                                                                                | 27/500 [00:10<02:59,  2.63it/s]
Episode 391: Total Reward = -1677.5842637652827
Episode 392: Total Reward = -1593.073311553028
Episode 393: Total Reward = -1628.1414034335412
Episode 394: Total Reward = -1577.0772990490302
Episode 395: Total Reward = -1659.1299913438754
Episode 396: Total Reward = -1640.9109732516533
Episode 397: Total Reward = -1602.8293741209104
Episode 398: Total Reward = -1531.048059770421
Episode 399: Total Reward = -1618.4474979995089
Episode 400: Total Reward = -1643.5889469915967
Saved checkpoint at episode 400 to result-a2c_pendulum_sweep/exp_20250514-133248/checkpoint_ep400.pt
Episode 401: Total Reward = -1614.1706300091616
Episode 402: Total Reward = -1652.3322329983268
Episode 403: Total Reward = -1577.916980290876
Episode 404: Total Reward = -1622.7918405265686
Episode 405: Total Reward = -1602.1717367162219
Episode 406: Total Reward = -1630.3917078318655
Episode 407: Total Reward = -1628.6312130434812
Episode 408: Total Reward = -1664.8630936759032
Episode 409: Total Reward = -1632.7427197492648
Episode 410: Total Reward = -1629.3048863605227
Episode 411: Total Reward = -1626.7747155291459
Episode 412: Total Reward = -1523.0210249483544
Episode 413: Total Reward = -1624.1489515771764
Episode 414: Total Reward = -1584.9539203771908
Episode 415: Total Reward = -1625.4114247950856
Episode 416: Total Reward = -1558.1563684113921
Episode 417: Total Reward = -1607.7615428734289
Episode 418: Total Reward = -1621.930997657941
Episode 419: Total Reward = -1535.6066815857691
Episode 420: Total Reward = -1626.4923560432687
Episode 421: Total Reward = -1598.2617203212076
Episode 422: Total Reward = -1613.032460655757
Episode 423: Total Reward = -1596.976954175307
Episode 424: Total Reward = -1618.3262860712257
Episode 425: Total Reward = -1597.8765712350983
Episode 426: Total Reward = -1607.2826786945413
Episode 427: Total Reward = -1577.996283261711
Episode 428: Total Reward = -1607.262781573725
Episode 429: Total Reward = -1621.4272912003607
Episode 430: Total Reward = -1606.4219836431143
Episode 431: Total Reward = -1605.821214623377
Episode 432: Total Reward = -1600.5148099471342
Episode 433: Total Reward = -1612.2676664940548
Episode 434: Total Reward = -1611.8935949826248
Episode 435: Total Reward = -1574.408538599236
Episode 436: Total Reward = -1602.957887669296
Episode 437: Total Reward = -1547.0179188192735
Episode 438: Total Reward = -1581.714869002982
Episode 439: Total Reward = -1591.6048040792136
Episode 440: Total Reward = -1588.8711475277612
Episode 441: Total Reward = -1594.1142108487186
Episode 442: Total Reward = -1590.7387166025178
Episode 443: Total Reward = -1602.1698059578985
Episode 444: Total Reward = -1613.7101440235408
Episode 445: Total Reward = -1608.1800467535338
Episode 446: Total Reward = -1605.169911641855
Episode 447: Total Reward = -1563.304764244012
Episode 448: Total Reward = -1569.158060791843
Episode 449: Total Reward = -1590.711515740906
Episode 450: Total Reward = -1599.7996724790644
Episode 451: Total Reward = -1583.2982404611544
Episode 452: Total Reward = -1588.258967089536
Episode 453: Total Reward = -1605.0611797902584
Episode 454: Total Reward = -1595.3061568659518
Episode 455: Total Reward = -1585.3241428489384
Episode 456: Total Reward = -1596.6123147430644
Episode 457: Total Reward = -1592.7754741896495
Episode 458: Total Reward = -1589.5618539969014
Episode 459: Total Reward = -1607.6539709680983
Episode 460: Total Reward = -1574.2522876089724
Episode 461: Total Reward = -1590.9905050218383
Episode 462: Total Reward = -1573.4013422271983
Episode 463: Total Reward = -1580.5911001333152
Episode 464: Total Reward = -1576.5144292723364
Episode 465: Total Reward = -1582.0417150283743
Episode 466: Total Reward = -1585.5135700677026
Episode 467: Total Reward = -1578.700374770811
Episode 468: Total Reward = -1577.229766995421
Episode 469: Total Reward = -1594.6801132024573
Episode 470: Total Reward = -1576.8405530665493
Episode 471: Total Reward = -1577.3133954787304
Episode 472: Total Reward = -1571.9036117760008
Episode 473: Total Reward = -1573.75500630541
Episode 474: Total Reward = -1571.0314431112274
Episode 475: Total Reward = -1572.7488885419127
Episode 476: Total Reward = -1583.3954104753977
Episode 477: Total Reward = -1567.2389680491194
Episode 478: Total Reward = -1570.5382390419356
Episode 479: Total Reward = -1581.3201969099107
Episode 480: Total Reward = -1570.5659201665244
Episode 481: Total Reward = -1557.4430142072072
Episode 482: Total Reward = -1554.5768591461826
Episode 483: Total Reward = -1563.8685333431426
Episode 484: Total Reward = -1559.494335607742
Episode 485: Total Reward = -1570.449380242922
Episode 486: Total Reward = -1571.4276972600214
Episode 487: Total Reward = -1558.9440091802355
Episode 488: Total Reward = -1562.065182828144
Episode 489: Total Reward = -1561.7176540131788
Episode 490: Total Reward = -1557.2865543000726
Episode 491: Total Reward = -1552.4213062084718
Episode 492: Total Reward = -1564.6457791967723
Episode 493: Total Reward = -1569.3535699032336
Episode 494: Total Reward = -1556.3700271828975
Episode 495: Total Reward = -1570.5994535321456
Episode 496: Total Reward = -1557.558262078639
Episode 497: Total Reward = -1568.2181979806428
Episode 498: Total Reward = -1546.4824441503276
Episode 499: Total Reward = -1561.113919706194
Episode 500: Total Reward = -1566.6330045028542
Saved checkpoint at episode 500 to result-a2c_pendulum_sweep/exp_20250514-133248/checkpoint_ep500.pt
Saved checkpoint at episode 500 to result-a2c_pendulum_sweep/exp_20250514-133248/checkpoint_ep500.pt
