cuda
  6%|██████▉                                                                                                                | 29/500 [00:10<02:57,  2.65it/s]
Episode 301: Total Reward = -1099.6875127093422
Episode 302: Total Reward = -1079.8804727088811
Episode 303: Total Reward = -1058.281581806635
Episode 304: Total Reward = -899.9999206753855
Episode 305: Total Reward = -932.3765697628432
Episode 306: Total Reward = -1039.0430695297678
Episode 307: Total Reward = -1153.125899001363
Episode 308: Total Reward = -1195.2840991368298
Episode 309: Total Reward = -1211.3102797167244
Episode 310: Total Reward = -1214.0505274110678
Episode 311: Total Reward = -1185.7139041849578
Episode 312: Total Reward = -1166.8880064838186
Episode 313: Total Reward = -1203.2768220386208
Episode 314: Total Reward = -1189.0417406390734
Episode 315: Total Reward = -1166.437388986672
Episode 316: Total Reward = -1146.1457144746914
Episode 317: Total Reward = -1163.972046802696
Episode 318: Total Reward = -1047.3139106634724
Episode 319: Total Reward = -1042.0132863837969
Episode 320: Total Reward = -1099.6422219141743
Episode 321: Total Reward = -1115.3670913893238
Episode 322: Total Reward = -1130.7970389419686
Episode 323: Total Reward = -1101.5756707731416
Episode 324: Total Reward = -1147.6052585234788
Episode 325: Total Reward = -1142.5392820325194
Episode 326: Total Reward = -1114.39217879229
Episode 327: Total Reward = -1108.6635385046495
Episode 328: Total Reward = -977.5766685881466
Episode 329: Total Reward = -1086.2712863810204
Episode 330: Total Reward = -1040.0343924636984
Episode 331: Total Reward = -970.229435278123
Episode 332: Total Reward = -985.8511425001589
Episode 333: Total Reward = -920.2297679426829
Episode 334: Total Reward = -820.7027277493341
Episode 335: Total Reward = -1048.6069231156794
Episode 336: Total Reward = -1005.0606141925387
Episode 337: Total Reward = -1052.4266454992317
Episode 338: Total Reward = -1099.5173187772389
Episode 339: Total Reward = -1048.16673304516
Episode 340: Total Reward = -1046.3525850137496
Episode 341: Total Reward = -966.6085202455806
Episode 342: Total Reward = -978.0182681621371
Episode 343: Total Reward = -994.6291901270539
Episode 344: Total Reward = -1040.3280986619632
Episode 345: Total Reward = -1107.0221392476099
Episode 346: Total Reward = -1097.8891758151328
Episode 347: Total Reward = -1124.1663299757024
Episode 348: Total Reward = -1151.9791161656437
Episode 349: Total Reward = -1118.5425350954913
Episode 350: Total Reward = -1060.2127610243556
Episode 351: Total Reward = -1062.8471158063237
Episode 352: Total Reward = -1075.9206881624593
Episode 353: Total Reward = -1134.9396298997829
Episode 354: Total Reward = -1131.9133297274982
Episode 355: Total Reward = -1137.0183735551273
Episode 356: Total Reward = -1129.9845264294192
Episode 357: Total Reward = -1154.160638346142
Episode 358: Total Reward = -1129.7621769956793
Episode 359: Total Reward = -1146.9200488676263
Episode 360: Total Reward = -1176.308781835686
Episode 361: Total Reward = -1155.2848544183823
Episode 362: Total Reward = -1184.8840672640965
Episode 363: Total Reward = -1175.705396636138
Episode 364: Total Reward = -1180.8193231810824
Episode 365: Total Reward = -1155.2637626928388
Episode 366: Total Reward = -1184.9941961305121
Episode 367: Total Reward = -1172.2523490851138
Episode 368: Total Reward = -1208.7385458136303
Episode 369: Total Reward = -1190.954375282795
Episode 370: Total Reward = -1191.8720719874211
Episode 371: Total Reward = -1189.5857602954015
Episode 372: Total Reward = -1197.8034387902546
Episode 373: Total Reward = -1200.6141879250974
Episode 374: Total Reward = -1205.334215512362
Episode 375: Total Reward = -1200.4349581317954
Episode 376: Total Reward = -1207.6016589264889
Episode 377: Total Reward = -1196.5348933040807
Episode 378: Total Reward = -1195.6879201227016
Episode 379: Total Reward = -1204.3826286407284
Episode 380: Total Reward = -1197.759454900454
Episode 381: Total Reward = -1183.1258033508109
Episode 382: Total Reward = -1198.3805483623087
Episode 383: Total Reward = -1200.7857152172085
Episode 384: Total Reward = -1206.21433961829
Episode 385: Total Reward = -1209.5031629721661
Episode 386: Total Reward = -1175.7380968158534
Episode 387: Total Reward = -1176.8880984930381
Episode 388: Total Reward = -1187.2670594122778
Episode 389: Total Reward = -1180.3991693475773
Episode 390: Total Reward = -1197.6967795459148
Episode 391: Total Reward = -1182.4067964483775
Episode 392: Total Reward = -1180.3805272845502
Episode 393: Total Reward = -1172.9167105412785
